year,gdp_nominal,gdp_growth_real,trade_total,trade_goods,trade_services
2008,14769.86175,0.0,-740.87,-832.492,140.887
2009,14478.06725,-0.025764958014218447,-419.15299999999996,-509.694,131.971
2010,15048.971,0.026951924999222394,-532.30875,-648.671,165.265
2011,15599.731500000002,0.015644068087848965,-579.61675,-741.0,208.876
2012,16253.97,0.022891118531306823,-551.61725,-741.121,239.396
2013,16880.683250000002,0.02117828634251213,-478.45349999999996,-700.539,272.586
2014,17608.13825,0.025238212172611896,-508.9,-749.917,286.294
2015,18295.019,0.029455490466893174,-524.3197500000001,-761.868,289.605
2016,18804.91325,0.01819452806019186,-503.27175000000005,-749.803,287.208
2017,19612.1025,0.02457623575704057,-543.3285,-799.343,301.499
2018,20656.515499999998,0.029664986199210437,-593.07675,-878.747,321.532
2019,21539.9815,0.025838316161415117,-577.2905,-857.261,321.853
2020,21375.2815,-0.02081378341995819,-618.55375,-912.875,275.823
2021,23725.6455,0.06152022480218883,-849.23325,-1083.191,256.083
2022,26054.61425,0.025242150122835882,-937.889,-1174.566,271.677
2023,27811.517,0.029343609230527864,-786.4955,-1057.508,307.916
2024,29298.01275,0.027931871846460007,-898.45975,-1212.785,327.315
2025,30762.09875,0.021063376260688858,-926.4870000000001,-1259.621,327.66
2026,32170.4655,0.01572577757965885,-844.491,-1056.6144,341.64480000000003
